iter	Passed	Remaining
0	165	165392
1	167	83628
2	169	56305
3	171	42595
4	172	34391
5	174	28929
6	176	25010
7	177	22060
8	179	19791
9	181	18014
10	183	16535
11	185	15298
12	187	14238
13	189	13347
14	190	12537
15	192	11855
16	194	11223
17	195	10646
18	196	10130
19	197	9658
20	198	9239
21	199	8854
22	200	8500
23	201	8189
24	202	7895
25	203	7616
26	204	7368
27	205	7132
28	206	6925
29	208	6725
30	209	6535
31	210	6362
32	211	6198
33	212	6044
34	213	5889
35	214	5749
36	215	5615
37	216	5485
38	217	5368
39	218	5254
40	219	5144
41	221	5041
42	222	4941
43	223	4854
44	224	4767
45	225	4679
46	226	4595
47	227	4517
48	228	4440
49	230	4370
50	231	4299
51	232	4230
52	233	4163
53	234	4101
54	235	4040
55	236	3984
56	237	3926
57	238	3870
58	239	3821
59	240	3768
60	241	3718
61	242	3670
62	243	3622
63	244	3578
64	245	3535
65	246	3491
66	247	3452
67	248	3405
68	249	3364
69	250	3327
70	251	3289
71	252	3253
72	253	3218
73	254	3184
74	255	3151
75	256	3120
76	257	3089
77	258	3058
78	259	3028
79	260	2998
80	261	2970
81	262	2942
82	263	2914
83	264	2888
84	265	2857
85	266	2832
86	267	2804
87	268	2779
88	269	2755
89	270	2732
90	271	2710
91	272	2686
92	273	2664
93	274	2642
94	275	2623
95	276	2602
96	277	2583
97	278	2563
98	279	2543
99	280	2525
100	281	2507
101	282	2484
102	283	2466
103	284	2449
104	285	2431
105	286	2416
106	287	2399
107	288	2385
108	289	2369
109	290	2353
110	291	2338
111	292	2322
112	293	2307
113	294	2291
114	295	2276
115	296	2262
116	297	2248
117	298	2233
118	299	2217
119	300	2204
120	301	2192
121	302	2180
122	303	2163
123	304	2149
124	305	2137
125	306	2124
126	307	2111
127	307	2096
128	308	2083
129	309	2072
130	310	2060
131	311	2049
132	312	2038
133	313	2027
134	314	2016
135	316	2007
136	317	1997
137	317	1984
138	318	1974
139	319	1963
140	320	1953
141	321	1942
142	322	1933
143	323	1923
144	324	1915
145	326	1906
146	327	1898
147	328	1889
148	329	1881
149	330	1872
150	331	1864
151	332	1855
152	333	1847
153	334	1837
154	335	1828
155	336	1820
156	337	1811
157	338	1803
158	339	1796
159	340	1788
160	341	1780
161	342	1773
162	343	1765
163	344	1756
164	345	1748
165	346	1741
166	347	1733
167	348	1725
168	349	1718
169	350	1712
170	351	1705
171	352	1699
172	354	1692
173	355	1685
174	356	1680
175	357	1673
176	358	1666
177	359	1659
178	360	1653
